National Total	Autonomous Communities and Cities	Index type	Indices and rates	Period	Total
Nacional	03 Asturias, Principado de	General	Index	2023QII	130.306
Nacional	03 Asturias, Principado de	General	Index	2023QI	128.079
Nacional	03 Asturias, Principado de	General	Index	2022QIV	126.946
Nacional	03 Asturias, Principado de	General	Index	2022QIII	127.452
Nacional	03 Asturias, Principado de	General	Index	2022QII	126.693
Nacional	03 Asturias, Principado de	General	Index	2022QI	123.636
Nacional	03 Asturias, Principado de	General	Index	2021QIV	121.340
Nacional	03 Asturias, Principado de	General	Index	2021QIII	119.777
Nacional	03 Asturias, Principado de	General	Index	2021QII	118.855
Nacional	03 Asturias, Principado de	General	Index	2021QI	115.257
Nacional	03 Asturias, Principado de	General	Index	2020QIV	114.305
Nacional	03 Asturias, Principado de	General	Index	2020QIII	114.498
Nacional	03 Asturias, Principado de	General	Index	2020QII	114.686
Nacional	03 Asturias, Principado de	General	Index	2020QI	112.800
Nacional	03 Asturias, Principado de	General	Index	2019QIV	112.223
Nacional	03 Asturias, Principado de	General	Index	2019QIII	111.463
Nacional	03 Asturias, Principado de	General	Index	2019QII	110.472
Nacional	03 Asturias, Principado de	General	Index	2019QI	108.084
Nacional	03 Asturias, Principado de	General	Index	2018QIV	107.600
Nacional	03 Asturias, Principado de	General	Index	2018QIII	107.658
Nacional	03 Asturias, Principado de	General	Index	2018QII	105.095
Nacional	03 Asturias, Principado de	General	Index	2018QI	104.140
Nacional	03 Asturias, Principado de	General	Index	2017QIV	104.111
Nacional	03 Asturias, Principado de	General	Index	2017QIII	103.132
Nacional	03 Asturias, Principado de	General	Index	2017QII	100.953
Nacional	03 Asturias, Principado de	General	Index	2017QI	101.946
Nacional	03 Asturias, Principado de	General	Index	2016QIV	101.654
Nacional	03 Asturias, Principado de	General	Index	2016QIII	102.264
Nacional	03 Asturias, Principado de	General	Index	2016QII	101.217
Nacional	03 Asturias, Principado de	General	Index	2016QI	100.537
Nacional	03 Asturias, Principado de	General	Index	2015QIV	99.712
Nacional	03 Asturias, Principado de	General	Index	2015QIII	102.276
Nacional	03 Asturias, Principado de	General	Index	2015QII	100.503
Nacional	03 Asturias, Principado de	General	Index	2015QI	97.509
Nacional	03 Asturias, Principado de	General	Index	2014QIV	98.431
Nacional	03 Asturias, Principado de	General	Index	2014QIII	98.851
Nacional	03 Asturias, Principado de	General	Index	2014QII	99.566
Nacional	03 Asturias, Principado de	General	Index	2014QI	97.194
Nacional	03 Asturias, Principado de	General	Index	2013QIV	98.757
Nacional	03 Asturias, Principado de	General	Index	2013QIII	100.371
Nacional	03 Asturias, Principado de	General	Index	2013QII	101.586
Nacional	03 Asturias, Principado de	General	Index	2013QI	102.340
Nacional	03 Asturias, Principado de	General	Index	2012QIV	111.549
Nacional	03 Asturias, Principado de	General	Index	2012QIII	111.115
Nacional	03 Asturias, Principado de	General	Index	2012QII	116.298
Nacional	03 Asturias, Principado de	General	Index	2012QI	119.183
Nacional	03 Asturias, Principado de	General	Index	2011QIV	127.323
Nacional	03 Asturias, Principado de	General	Index	2011QIII	134.660
Nacional	03 Asturias, Principado de	General	Index	2011QII	135.693
Nacional	03 Asturias, Principado de	General	Index	2011QI	138.430
Nacional	03 Asturias, Principado de	General	Index	2010QIV	142.186
Nacional	03 Asturias, Principado de	General	Index	2010QIII	139.765
Nacional	03 Asturias, Principado de	General	Index	2010QII	144.669
Nacional	03 Asturias, Principado de	General	Index	2010QI	142.162
Nacional	03 Asturias, Principado de	General	Index	2009QIV	143.684
Nacional	03 Asturias, Principado de	General	Index	2009QIII	144.679
Nacional	03 Asturias, Principado de	General	Index	2009QII	144.351
Nacional	03 Asturias, Principado de	General	Index	2009QI	144.477
Nacional	03 Asturias, Principado de	General	Index	2008QIV	144.401
Nacional	03 Asturias, Principado de	General	Index	2008QIII	145.396
Nacional	03 Asturias, Principado de	General	Index	2008QII	145.714
Nacional	03 Asturias, Principado de	General	Index	2008QI	147.078
Nacional	03 Asturias, Principado de	General	Index	2007QIV	146.787
Nacional	03 Asturias, Principado de	General	Index	2007QIII	146.732
Nacional	03 Asturias, Principado de	General	Index	2007QII	143.559
Nacional	03 Asturias, Principado de	General	Index	2007QI	138.726
Nacional	04 Balears, Illes	General	Index	2025QIII	199.625
Nacional	04 Balears, Illes	General	Index	2025QII	192.349
Nacional	04 Balears, Illes	General	Index	2025QI	185.053
Nacional	04 Balears, Illes	General	Index	2024QIV	179.469
Nacional	04 Balears, Illes	General	Index	2024QIII	177.025
Nacional	04 Balears, Illes	General	Index	2024QII	172.207
Nacional	04 Balears, Illes	General	Index	2024QI	168.273
Nacional	04 Balears, Illes	General	Index	2023QIV	165.249
Nacional	04 Balears, Illes	General	Index	2023QIII	167.280
Nacional	04 Balears, Illes	General	Index	2023QII	162.183
Nacional	04 Balears, Illes	General	Index	2023QI	159.060
Nacional	04 Balears, Illes	General	Index	2022QIV	158.300
Nacional	04 Balears, Illes	General	Index	2022QIII	160.112
Nacional	04 Balears, Illes	General	Index	2022QII	157.098
Nacional	04 Balears, Illes	General	Index	2022QI	152.625
Nacional	04 Balears, Illes	General	Index	2021QIV	149.462
Nacional	04 Balears, Illes	General	Index	2021QIII	147.791
Nacional	04 Balears, Illes	General	Index	2021QII	141.694
Nacional	04 Balears, Illes	General	Index	2021QI	136.265
Nacional	04 Balears, Illes	General	Index	2020QIV	136.398
Nacional	04 Balears, Illes	General	Index	2020QIII	138.410
Nacional	04 Balears, Illes	General	Index	2020QII	134.061
Nacional	04 Balears, Illes	General	Index	2020QI	134.726
Nacional	04 Balears, Illes	General	Index	2019QIV	133.139
Nacional	04 Balears, Illes	General	Index	2019QIII	133.920
Nacional	04 Balears, Illes	General	Index	2019QII	128.181
Nacional	04 Balears, Illes	General	Index	2019QI	127.149
Nacional	04 Balears, Illes	General	Index	2018QIV	126.178
Nacional	04 Balears, Illes	General	Index	2018QIII	126.301
Nacional	04 Balears, Illes	General	Index	2018QII	121.782
Nacional	04 Balears, Illes	General	Index	2018QI	118.479
Nacional	04 Balears, Illes	General	Index	2017QIV	118.636
Nacional	04 Balears, Illes	General	Index	2017QIII	118.005
Nacional	04 Balears, Illes	General	Index	2017QII	112.337
Nacional	04 Balears, Illes	General	Index	2017QI	109.530
Nacional	04 Balears, Illes	General	Index	2016QIV	108.090
Nacional	04 Balears, Illes	General	Index	2016QIII	108.189
Nacional	04 Balears, Illes	General	Index	2016QII	104.630
Nacional	04 Balears, Illes	General	Index	2016QI	103.795
Nacional	04 Balears, Illes	General	Index	2015QIV	102.261
Nacional	04 Balears, Illes	General	Index	2015QIII	102.692
Nacional	04 Balears, Illes	General	Index	2015QII	99.624
Nacional	04 Balears, Illes	General	Index	2015QI	95.424
Nacional	04 Balears, Illes	General	Index	2014QIV	95.569
Nacional	04 Balears, Illes	General	Index	2014QIII	94.725
Nacional	04 Balears, Illes	General	Index	2014QII	92.815
Nacional	04 Balears, Illes	General	Index	2014QI	92.840
Nacional	04 Balears, Illes	General	Index	2013QIV	94.876
Nacional	04 Balears, Illes	General	Index	2013QIII	94.286
Nacional	04 Balears, Illes	General	Index	2013QII	92.472
Nacional	04 Balears, Illes	General	Index	2013QI	92.688
Nacional	04 Balears, Illes	General	Index	2012QIV	98.472
Nacional	04 Balears, Illes	General	Index	2012QIII	100.069
Nacional	04 Balears, Illes	General	Index	2012QII	101.737
Nacional	04 Balears, Illes	General	Index	2012QI	102.879
Nacional	04 Balears, Illes	General	Index	2011QIV	111.130
Nacional	04 Balears, Illes	General	Index	2011QIII	116.348
Nacional	04 Balears, Illes	General	Index	2011QII	119.621
Nacional	04 Balears, Illes	General	Index	2011QI	120.820
Nacional	04 Balears, Illes	General	Index	2010QIV	123.202
Nacional	04 Balears, Illes	General	Index	2010QIII	122.719
Nacional	04 Balears, Illes	General	Index	2010QII	124.473
Nacional	04 Balears, Illes	General	Index	2010QI	124.524
Nacional	04 Balears, Illes	General	Index	2009QIV	124.886
Nacional	04 Balears, Illes	General	Index	2009QIII	125.190
Nacional	04 Balears, Illes	General	Index	2009QII	127.041
Nacional	04 Balears, Illes	General	Index	2009QI	127.995
Nacional	04 Balears, Illes	General	Index	2008QIV	132.299
Nacional	04 Balears, Illes	General	Index	2008QIII	137.833
Nacional	04 Balears, Illes	General	Index	2008QII	140.641
Nacional	04 Balears, Illes	General	Index	2008QI	139.331
Nacional	04 Balears, Illes	General	Index	2007QIV	141.156
Nacional	04 Balears, Illes	General	Index	2007QIII	141.550
Nacional	04 Balears, Illes	General	Index	2007QII	138.926
Nacional	04 Balears, Illes	General	Index	2007QI	134.284
Nacional	05 Canarias	General	Index	2025QIII	177.382
Nacional	05 Canarias	General	Index	2025QII	173.589
Nacional	05 Canarias	General	Index	2025QI	168.596
Nacional	05 Canarias	General	Index	2024QIV	160.865
Nacional	05 Canarias	General	Index	2024QIII	158.063
Nacional	05 Canarias	General	Index	2024QII	155.476
Nacional	05 Canarias	General	Index	2024QI	149.974
Nacional	05 Canarias	General	Index	2023QIV	145.446
Nacional	05 Canarias	General	Index	2023QIII	147.573
Nacional	05 Canarias	General	Index	2023QII	143.283
Nacional	05 Canarias	General	Index	2023QI	141.738
Nacional	05 Canarias	General	Index	2022QIV	139.123
Nacional	05 Canarias	General	Index	2022QIII	138.435
Nacional	05 Canarias	General	Index	2022QII	137.058
Nacional	05 Canarias	General	Index	2022QI	134.345
Nacional	05 Canarias	General	Index	2021QIV	128.649
Nacional	05 Canarias	General	Index	2021QIII	128.119
Nacional	05 Canarias	General	Index	2021QII	125.239
Nacional	05 Canarias	General	Index	2021QI	121.160
Nacional	05 Canarias	General	Index	2020QIV	119.330
Nacional	05 Canarias	General	Index	2020QIII	119.790
Nacional	05 Canarias	General	Index	2020QII	117.712
Nacional	05 Canarias	General	Index	2020QI	119.008
Nacional	05 Canarias	General	Index	2019QIV	118.344
Nacional	05 Canarias	General	Index	2019QIII	118.096
Nacional	05 Canarias	General	Index	2019QII	116.974
Nacional	05 Canarias	General	Index	2019QI	116.934
