STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES30,Comunidad de Madrid,2022,,12.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES30,Comunidad de Madrid,2023,,9.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES30,Comunidad de Madrid,2024,,11.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES30,Comunidad de Madrid,2025,,9.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES4,Centro (ES),2021,,6.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES4,Centro (ES),2022,,6.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES4,Centro (ES),2023,,6.4,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES4,Centro (ES),2024,,6.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES4,Centro (ES),2025,,6.6,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES41,Castilla y León,2021,,6.7,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES41,Castilla y León,2022,,6.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES41,Castilla y León,2023,,6.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES41,Castilla y León,2024,,5.7,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES41,Castilla y León,2025,,7.6,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES42,Castilla-La Mancha,2021,,7.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES42,Castilla-La Mancha,2022,,5.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES42,Castilla-La Mancha,2023,,6.7,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES42,Castilla-La Mancha,2024,,7.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES42,Castilla-La Mancha,2025,,6.7,,,,,
